Feature,F_Score,P_Value
air_temp,84.2478701818715,3.140460691155357e-19
Year,69.67778128263737,2.749578285628866e-16
snw_dpth,40.85627478374479,2.676093634696967e-10
snwfl_amt_pst1hr,32.968776313094054,1.2959684553908916e-08
TEMP_MEAN,24.526797103589516,8.812381600765033e-07
min_air_temp_snc_last_reset,22.12766553967907,2.968553017058701e-06
avg_rel_hum_pst1hr,21.928967539215623,3.283849336913388e-06
Wetness,15.495786516225262,8.933214576548278e-05
relative_humidity,13.207981082870843,0.00029520244925405225
cum_pcpn_amt,10.696893319468908,0.001115595786993154
Longitude,6.046742400702181,0.014126820788734928
DayOfYear,5.877680513100405,0.015537995856691147
Month,5.605004849324653,0.018128419278972643
HUMIDITY,4.980687428626588,0.02588724664230183
TempC,4.1219822531091905,0.042634981904229916
SolarRadiation,1.9588996352428687,0.1619895662954968
DewPtC,1.8889277098857216,0.1696788807047983
Rainmm,1.6290504281447957,0.20217701088594772
CURRENT_AIR_TEMPERATURE1,1.6058668789727537,0.20541482360661406
SnowWaterEquivalent,0.24399685830324802,0.6214595647899998
Pressurembar,0.013477243571655929,0.9076069463494436
air_temperature_yesterday_high,0.00013612762908972063,0.9906936834982649
